Request Number,142.254.184.77 Latency (ms),76.167.17.73 Latency (ms),72.129.2.118 Latency (ms)
197.0,9.19,25.9,18.7
198.0,10.6,23.3,19.9
199.0,15.6,25.2,17.5
200.0,10.6,33.3,17.2
201.0,10.5,31.1,19.2
202.0,10.5,25.1,25.3
203.0,9.47,31.0,14.6
204.0,9.72,62.3,11.8
205.0,14.0,21.6,16.9
206.0,9.83,25.8,53.8
207.0,13.1,25.2,24.8
208.0,11.0,24.6,11.7
209.0,9.91,24.3,16.9
210.0,10.8,52.4,18.2
211.0,11.0,25.3,16.7
212.0,9.08,23.1,55.0
213.0,8.54,28.6,17.6
214.0,11.3,25.0,108.0
215.0,11.6,37.7,18.7
216.0,12.0,22.9,12.8
217.0,11.0,26.4,52.3
218.0,10.2,30.1,20.4
219.0,10.3,27.4,18.2
220.0,9.27,35.1,18.5
221.0,9.88,66.8,22.9
222.0,8.95,25.8,16.7
223.0,15.1,24.5,17.7
224.0,15.6,26.3,18.9
225.0,15.4,152.0,16.9
226.0,9.29,64.2,21.1
227.0,46.7,33.9,22.2
228.0,15.3,50.5,17.4
229.0,14.2,34.3,14.0
230.0,13.6,33.3,20.5
231.0,17.4,44.9,14.1
232.0,11.2,26.6,23.5
233.0,13.6,29.5,20.0
234.0,8.23,32.9,22.2
235.0,15.6,33.7,18.8
236.0,10.2,24.0,18.6
237.0,8.99,23.0,13.6
238.0,20.7,29.1,12.5
239.0,13.0,29.8,19.7
240.0,9.74,36.0,16.8
241.0,12.1,31.9,18.9
242.0,10.2,27.8,17.1
243.0,10.1,30.1,12.9
244.0,11.3,168.0,17.5
245.0,9.34,27.6,18.4
246.0,10.2,21.4,15.7
247.0,10.7,28.1,16.6
248.0,10.6,30.0,14.4
249.0,9.83,30.0,15.5
250.0,12.8,24.7,10.6
251.0,10.5,25.0,26.4
252.0,13.1,23.2,18.9
253.0,11.5,29.8,14.6
254.0,11.4,36.3,21.6
255.0,15.4,30.5,20.4
256.0,9.04,28.1,12.9
257.0,12.9,25.3,17.6
258.0,9.8,28.2,17.7
259.0,9.75,27.7,16.3
260.0,17.6,39.8,13.7
261.0,16.0,21.1,10.2
262.0,11.5,200.0,16.7
263.0,10.8,35.7,25.6
264.0,12.5,28.4,16.8
265.0,9.39,26.4,17.2
266.0,11.5,27.9,16.5
267.0,10.4,30.0,15.5
268.0,9.55,31.6,16.0
269.0,15.5,21.0,11.0
270.0,9.47,24.4,12.8
271.0,10.1,20.8,16.4
272.0,10.7,30.4,23.8
273.0,9.96,30.0,17.0
274.0,10.4,28.7,21.5
275.0,10.6,32.3,19.2
276.0,10.0,39.9,13.6
277.0,9.21,30.1,16.8
278.0,9.91,30.0,10.9
279.0,11.7,24.1,15.7
280.0,9.6,170.0,18.4
281.0,15.2,32.8,19.7
282.0,14.3,27.8,22.3
283.0,9.39,31.8,16.4
284.0,10.8,17.6,14.3
285.0,11.5,26.5,16.5
286.0,17.4,32.4,17.9
287.0,15.9,27.7,16.5
288.0,12.1,22.4,10.8
289.0,9.54,31.0,19.4
290.0,13.6,26.8,18.7
291.0,9.16,26.7,14.1
292.0,11.6,27.1,11.6
293.0,11.8,25.9,15.0
294.0,9.08,31.0,30.1
295.0,14.4,31.5,15.9
296.0,10.6,24.1,15.7
297.0,13.8,21.9,17.8
298.0,10.2,113.0,16.8
299.0,11.1,25.9,19.3
300.0,9.83,27.0,14.7
301.0,8.64,31.7,18.1
302.0,9.53,23.6,16.1
303.0,9.33,23.8,14.9
304.0,9.07,26.3,13.9
305.0,9.49,29.8,23.0
306.0,14.6,23.0,16.6
307.0,12.7,27.9,16.1
308.0,15.9,30.9,16.0
309.0,16.7,32.1,18.7
310.0,12.3,57.5,12.6
311.0,9.73,22.5,20.2
312.0,10.4,29.5,12.0
313.0,11.3,35.7,17.1
314.0,11.3,24.1,18.4
315.0,10.1,65.0,21.6
316.0,10.4,31.3,21.5
317.0,10.9,23.7,18.1
318.0,13.8,34.2,15.6
319.0,11.0,23.7,11.9
320.0,12.6,26.0,21.7
321.0,10.3,29.9,14.4
322.0,13.4,22.0,16.4
323.0,10.4,24.5,18.4
324.0,9.95,32.0,19.9
325.0,10.3,26.6,16.4
