Request Number,142.254.184.77 Latency (ms),76.167.17.73 Latency (ms),72.129.2.118 Latency (ms)
860.0,10.3,25.6,15.7
861.0,10.8,28.1,17.1
862.0,14.0,28.7,22.3
863.0,9.97,35.2,18.9
864.0,9.06,26.1,12.6
865.0,8.86,22.8,15.8
866.0,13.4,16.2,18.1
867.0,10.1,27.6,10.7
868.0,9.46,26.0,20.8
869.0,11.6,30.1,15.2
870.0,9.7,49.1,11.1
871.0,11.3,22.0,15.6
872.0,10.9,23.3,14.1
873.0,9.94,24.8,13.0
874.0,9.65,108.0,17.8
875.0,9.85,28.3,17.9
876.0,9.06,24.2,19.1
877.0,10.8,31.0,15.0
878.0,11.0,26.2,18.6
879.0,11.5,30.5,15.3
880.0,12.7,26.9,16.8
881.0,9.9,26.7,18.4
882.0,9.91,25.8,12.4
883.0,11.1,36.5,14.8
884.0,10.4,23.8,13.5
885.0,10.6,29.6,16.9
886.0,11.9,30.9,13.7
887.0,10.7,29.7,16.1
888.0,12.3,67.5,24.8
889.0,8.3,18.2,12.4
890.0,9.26,30.6,15.8
891.0,9.6,197.0,16.6
892.0,14.1,24.4,16.1
893.0,10.1,26.4,18.8
894.0,9.44,26.0,11.7
895.0,9.67,21.2,16.5
896.0,10.6,23.1,15.1
897.0,10.0,33.1,18.3
898.0,9.72,19.3,11.0
899.0,8.85,30.0,17.1
900.0,12.4,38.1,12.0
901.0,11.5,27.0,12.0
902.0,17.7,32.0,16.7
903.0,8.86,28.2,12.0
904.0,11.0,32.4,21.0
905.0,19.3,27.5,18.1
906.0,10.6,29.1,14.8
907.0,10.1,27.3,17.0
908.0,12.1,20.8,18.5
909.0,9.73,141.0,24.6
910.0,9.36,31.8,12.7
911.0,11.6,31.2,19.1
912.0,10.1,32.9,16.8
913.0,9.75,25.5,17.5
914.0,9.87,32.4,18.3
915.0,9.41,25.8,17.1
916.0,10.3,32.8,17.5
917.0,10.6,22.3,15.6
918.0,9.17,33.9,11.9
919.0,13.8,27.7,21.5
920.0,9.52,37.5,14.0
921.0,10.1,67.4,14.4
922.0,9.91,25.9,14.0
923.0,10.2,21.4,17.6
924.0,17.2,26.0,14.9
925.0,10.1,32.7,18.7
926.0,9.24,182.0,9.96
927.0,10.6,31.3,18.0
928.0,12.1,28.0,16.9
929.0,12.6,31.5,19.6
930.0,10.7,22.7,20.4
931.0,10.1,25.6,16.7
932.0,10.5,33.8,21.0
933.0,11.4,23.3,20.0
934.0,14.4,24.9,12.9
935.0,10.4,27.5,12.3
936.0,11.0,26.4,21.5
937.0,9.2,25.8,15.4
938.0,11.0,32.4,17.3
939.0,9.74,23.1,15.3
940.0,10.1,30.2,19.4
941.0,17.3,26.9,12.6
942.0,9.78,32.0,11.2
943.0,14.0,194.0,15.3
944.0,9.51,24.1,17.6
945.0,10.4,22.8,16.7
946.0,10.4,22.1,18.8
947.0,10.9,14.7,13.7
948.0,10.6,24.3,20.4
949.0,9.43,24.8,13.8
950.0,11.7,27.3,19.5
951.0,14.0,20.2,21.0
952.0,8.45,29.2,22.8
953.0,9.55,27.7,16.4
954.0,10.2,25.1,17.4
955.0,9.7,62.7,16.5
956.0,18.7,30.1,13.3
957.0,11.8,27.3,14.5
958.0,10.9,20.8,14.5
959.0,9.39,28.0,20.6
960.0,9.31,24.4,13.5
961.0,9.61,151.0,15.5
962.0,9.59,21.3,16.4
963.0,14.9,28.4,18.4
964.0,10.8,37.6,11.0
965.0,15.8,25.1,12.1
966.0,9.04,30.4,17.6
967.0,13.1,29.6,20.7
968.0,13.7,30.3,18.1
969.0,10.3,34.2,19.4
970.0,12.7,33.1,18.1
971.0,9.65,27.9,15.5
972.0,12.3,20.9,21.7
973.0,10.4,23.3,16.5
974.0,9.56,30.2,12.6
975.0,8.48,27.3,11.0
976.0,9.99,26.8,18.1
977.0,10.0,33.5,11.1
978.0,14.9,115.0,13.3
979.0,11.9,24.2,20.6
980.0,10.5,36.2,16.7
981.0,13.3,27.4,20.5
982.0,9.58,34.8,17.5
983.0,9.06,26.4,19.5
984.0,20.0,33.0,15.6
985.0,11.1,28.3,15.4
986.0,19.3,25.8,11.6
987.0,10.8,29.3,18.0
988.0,13.6,25.8,20.8
989.0,10.4,39.4,16.7
990.0,18.1,23.9,14.1
991.0,11.9,25.9,17.6
992.0,11.3,20.5,15.4
993.0,10.8,31.3,14.6
994.0,9.64,34.3,12.6
995.0,10.4,117.0,16.2
996.0,10.5,22.5,14.7
997.0,9.1,20.3,17.3
998.0,9.55,26.6,12.5
999.0,13.9,25.2,15.0
1000.0,9.26,30.2,18.1
